No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
19,gini,,2,3,0.001,,K-Fold (5),0.521
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.679
19,gini,,2,3,0.001,,Leave-One-Out,0.622
19,gini,,2,3,0.001,,K-Fold (10),0.567
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.592
20,gini,,2,3,0.001,balanced,K-Fold (5),0.521
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.679
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.622
20,gini,,2,3,0.001,balanced,K-Fold (10),0.567
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.592
21,gini,,2,3,0.01,,K-Fold (5),0.521
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.679
21,gini,,2,3,0.01,,Leave-One-Out,0.622
21,gini,,2,3,0.01,,K-Fold (10),0.567
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.617
22,gini,,2,3,0.01,balanced,K-Fold (5),0.521
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.679
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.622
22,gini,,2,3,0.01,balanced,K-Fold (10),0.567
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.617
23,gini,,2,3,0.1,,K-Fold (5),0.457
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.511
23,gini,,2,3,0.1,,Leave-One-Out,0.676
23,gini,,2,3,0.1,,K-Fold (10),0.383
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.558
24,gini,,2,3,0.1,balanced,K-Fold (5),0.457
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.511
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.676
24,gini,,2,3,0.1,balanced,K-Fold (10),0.467
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.533
25,gini,,2,4,0.0,,K-Fold (5),0.654
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.679
25,gini,,2,4,0.0,,Leave-One-Out,0.595
25,gini,,2,4,0.0,,K-Fold (10),0.558
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.592
26,gini,,2,4,0.0,balanced,K-Fold (5),0.654
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.679
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.595
26,gini,,2,4,0.0,balanced,K-Fold (10),0.558
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.617
27,gini,,2,4,0.001,,K-Fold (5),0.654
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.679
27,gini,,2,4,0.001,,Leave-One-Out,0.595
27,gini,,2,4,0.001,,K-Fold (10),0.558
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.592
28,gini,,2,4,0.001,balanced,K-Fold (5),0.654
28,gini,,2,4,0.001,balanced,Stratified K-Fold (5),0.679
28,gini,,2,4,0.001,balanced,Leave-One-Out,0.595
28,gini,,2,4,0.001,balanced,K-Fold (10),0.558
28,gini,,2,4,0.001,balanced,Stratified K-Fold (10),0.617
29,gini,,2,4,0.01,,K-Fold (5),0.625
29,gini,,2,4,0.01,,Stratified K-Fold (5),0.679
29,gini,,2,4,0.01,,Leave-One-Out,0.595
29,gini,,2,4,0.01,,K-Fold (10),0.558
29,gini,,2,4,0.01,,Stratified K-Fold (10),0.592
30,gini,,2,4,0.01,balanced,K-Fold (5),0.625
30,gini,,2,4,0.01,balanced,Stratified K-Fold (5),0.679
30,gini,,2,4,0.01,balanced,Leave-One-Out,0.595
30,gini,,2,4,0.01,balanced,K-Fold (10),0.558
30,gini,,2,4,0.01,balanced,Stratified K-Fold (10),0.592
31,gini,,2,4,0.1,,K-Fold (5),0.457
31,gini,,2,4,0.1,,Stratified K-Fold (5),0.511
31,gini,,2,4,0.1,,Leave-One-Out,0.676
31,gini,,2,4,0.1,,K-Fold (10),0.383
31,gini,,2,4,0.1,,Stratified K-Fold (10),0.558
32,gini,,2,4,0.1,balanced,K-Fold (5),0.457
32,gini,,2,4,0.1,balanced,Stratified K-Fold (5),0.511
32,gini,,2,4,0.1,balanced,Leave-One-Out,0.676
32,gini,,2,4,0.1,balanced,K-Fold (10),0.467
32,gini,,2,4,0.1,balanced,Stratified K-Fold (10),0.533
33,gini,,2,5,0.0,,K-Fold (5),0.568
33,gini,,2,5,0.0,,Stratified K-Fold (5),0.729
33,gini,,2,5,0.0,,Leave-One-Out,0.541
33,gini,,2,5,0.0,,K-Fold (10),0.55
33,gini,,2,5,0.0,,Stratified K-Fold (10),0.65
34,gini,,2,5,0.0,balanced,K-Fold (5),0.568
34,gini,,2,5,0.0,balanced,Stratified K-Fold (5),0.729
34,gini,,2,5,0.0,balanced,Leave-One-Out,0.541
34,gini,,2,5,0.0,balanced,K-Fold (10),0.55
34,gini,,2,5,0.0,balanced,Stratified K-Fold (10),0.6
35,gini,,2,5,0.001,,K-Fold (5),0.568
35,gini,,2,5,0.001,,Stratified K-Fold (5),0.729
35,gini,,2,5,0.001,,Leave-One-Out,0.541
35,gini,,2,5,0.001,,K-Fold (10),0.55
35,gini,,2,5,0.001,,Stratified K-Fold (10),0.65
36,gini,,2,5,0.001,balanced,K-Fold (5),0.568
36,gini,,2,5,0.001,balanced,Stratified K-Fold (5),0.729
36,gini,,2,5,0.001,balanced,Leave-One-Out,0.541
36,gini,,2,5,0.001,balanced,K-Fold (10),0.55
36,gini,,2,5,0.001,balanced,Stratified K-Fold (10),0.6
37,gini,,2,5,0.01,,K-Fold (5),0.568
37,gini,,2,5,0.01,,Stratified K-Fold (5),0.729
37,gini,,2,5,0.01,,Leave-One-Out,0.541
37,gini,,2,5,0.01,,K-Fold (10),0.55
37,gini,,2,5,0.01,,Stratified K-Fold (10),0.65
38,gini,,2,5,0.01,balanced,K-Fold (5),0.568
38,gini,,2,5,0.01,balanced,Stratified K-Fold (5),0.729
38,gini,,2,5,0.01,balanced,Leave-One-Out,0.541
38,gini,,2,5,0.01,balanced,K-Fold (10),0.55
38,gini,,2,5,0.01,balanced,Stratified K-Fold (10),0.6
39,gini,,2,5,0.1,,K-Fold (5),0.457
39,gini,,2,5,0.1,,Stratified K-Fold (5),0.511
39,gini,,2,5,0.1,,Leave-One-Out,0.676
39,gini,,2,5,0.1,,K-Fold (10),0.383
39,gini,,2,5,0.1,,Stratified K-Fold (10),0.558
40,gini,,2,5,0.1,balanced,K-Fold (5),0.457
40,gini,,2,5,0.1,balanced,Stratified K-Fold (5),0.511
