No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
19,gini,,2,3,0.001,,K-Fold (5),0.593
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.671
19,gini,,2,3,0.001,,Leave-One-Out,0.541
19,gini,,2,3,0.001,,K-Fold (10),0.542
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.533
20,gini,,2,3,0.001,balanced,K-Fold (5),0.593
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.671
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.541
20,gini,,2,3,0.001,balanced,K-Fold (10),0.567
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.558
21,gini,,2,3,0.01,,K-Fold (5),0.593
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.621
21,gini,,2,3,0.01,,Leave-One-Out,0.541
21,gini,,2,3,0.01,,K-Fold (10),0.542
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.533
22,gini,,2,3,0.01,balanced,K-Fold (5),0.593
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.621
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.541
22,gini,,2,3,0.01,balanced,K-Fold (10),0.617
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.558
23,gini,,2,3,0.1,,K-Fold (5),0.429
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.511
23,gini,,2,3,0.1,,Leave-One-Out,0.0
23,gini,,2,3,0.1,,K-Fold (10),0.267
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.45
24,gini,,2,3,0.1,balanced,K-Fold (5),0.429
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.511
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.378
24,gini,,2,3,0.1,balanced,K-Fold (10),0.4
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.45
25,gini,,2,4,0.0,,K-Fold (5),0.6
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.625
25,gini,,2,4,0.0,,Leave-One-Out,0.676
25,gini,,2,4,0.0,,K-Fold (10),0.558
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.658
26,gini,,2,4,0.0,balanced,K-Fold (5),0.6
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.6
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.676
26,gini,,2,4,0.0,balanced,K-Fold (10),0.658
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.633
27,gini,,2,4,0.001,,K-Fold (5),0.6
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.625
27,gini,,2,4,0.001,,Leave-One-Out,0.676
27,gini,,2,4,0.001,,K-Fold (10),0.558
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.658
28,gini,,2,4,0.001,balanced,K-Fold (5),0.6
28,gini,,2,4,0.001,balanced,Stratified K-Fold (5),0.6
28,gini,,2,4,0.001,balanced,Leave-One-Out,0.676
28,gini,,2,4,0.001,balanced,K-Fold (10),0.658
28,gini,,2,4,0.001,balanced,Stratified K-Fold (10),0.633
29,gini,,2,4,0.01,,K-Fold (5),0.629
29,gini,,2,4,0.01,,Stratified K-Fold (5),0.625
29,gini,,2,4,0.01,,Leave-One-Out,0.73
29,gini,,2,4,0.01,,K-Fold (10),0.608
29,gini,,2,4,0.01,,Stratified K-Fold (10),0.683
30,gini,,2,4,0.01,balanced,K-Fold (5),0.629
30,gini,,2,4,0.01,balanced,Stratified K-Fold (5),0.6
30,gini,,2,4,0.01,balanced,Leave-One-Out,0.73
30,gini,,2,4,0.01,balanced,K-Fold (10),0.683
30,gini,,2,4,0.01,balanced,Stratified K-Fold (10),0.683
31,gini,,2,4,0.1,,K-Fold (5),0.429
31,gini,,2,4,0.1,,Stratified K-Fold (5),0.511
31,gini,,2,4,0.1,,Leave-One-Out,0.0
31,gini,,2,4,0.1,,K-Fold (10),0.267
31,gini,,2,4,0.1,,Stratified K-Fold (10),0.45
32,gini,,2,4,0.1,balanced,K-Fold (5),0.429
32,gini,,2,4,0.1,balanced,Stratified K-Fold (5),0.511
32,gini,,2,4,0.1,balanced,Leave-One-Out,0.378
32,gini,,2,4,0.1,balanced,K-Fold (10),0.4
32,gini,,2,4,0.1,balanced,Stratified K-Fold (10),0.45
33,gini,,2,5,0.0,,K-Fold (5),0.6
33,gini,,2,5,0.0,,Stratified K-Fold (5),0.654
33,gini,,2,5,0.0,,Leave-One-Out,0.649
33,gini,,2,5,0.0,,K-Fold (10),0.583
33,gini,,2,5,0.0,,Stratified K-Fold (10),0.708
34,gini,,2,5,0.0,balanced,K-Fold (5),0.6
34,gini,,2,5,0.0,balanced,Stratified K-Fold (5),0.654
34,gini,,2,5,0.0,balanced,Leave-One-Out,0.649
34,gini,,2,5,0.0,balanced,K-Fold (10),0.683
34,gini,,2,5,0.0,balanced,Stratified K-Fold (10),0.708
35,gini,,2,5,0.001,,K-Fold (5),0.6
35,gini,,2,5,0.001,,Stratified K-Fold (5),0.654
35,gini,,2,5,0.001,,Leave-One-Out,0.649
35,gini,,2,5,0.001,,K-Fold (10),0.583
35,gini,,2,5,0.001,,Stratified K-Fold (10),0.708
36,gini,,2,5,0.001,balanced,K-Fold (5),0.6
36,gini,,2,5,0.001,balanced,Stratified K-Fold (5),0.654
36,gini,,2,5,0.001,balanced,Leave-One-Out,0.649
36,gini,,2,5,0.001,balanced,K-Fold (10),0.683
36,gini,,2,5,0.001,balanced,Stratified K-Fold (10),0.708
37,gini,,2,5,0.01,,K-Fold (5),0.55
37,gini,,2,5,0.01,,Stratified K-Fold (5),0.625
37,gini,,2,5,0.01,,Leave-One-Out,0.649
37,gini,,2,5,0.01,,K-Fold (10),0.583
37,gini,,2,5,0.01,,Stratified K-Fold (10),0.708
38,gini,,2,5,0.01,balanced,K-Fold (5),0.575
38,gini,,2,5,0.01,balanced,Stratified K-Fold (5),0.625
38,gini,,2,5,0.01,balanced,Leave-One-Out,0.649
38,gini,,2,5,0.01,balanced,K-Fold (10),0.683
38,gini,,2,5,0.01,balanced,Stratified K-Fold (10),0.708
39,gini,,2,5,0.1,,K-Fold (5),0.429
39,gini,,2,5,0.1,,Stratified K-Fold (5),0.511
39,gini,,2,5,0.1,,Leave-One-Out,0.0
39,gini,,2,5,0.1,,K-Fold (10),0.267
39,gini,,2,5,0.1,,Stratified K-Fold (10),0.45
40,gini,,2,5,0.1,balanced,K-Fold (5),0.429
40,gini,,2,5,0.1,balanced,Stratified K-Fold (5),0.511
40,gini,,2,5,0.1,balanced,Leave-One-Out,0.378
40,gini,,2,5,0.1,balanced,K-Fold (10),0.4
40,gini,,2,5,0.1,balanced,Stratified K-Fold (10),0.45
41,gini,,3,1,0.0,,K-Fold (5),0.625
41,gini,,3,1,0.0,,Stratified K-Fold (5),0.646
41,gini,,3,1,0.0,,Leave-One-Out,0.622
41,gini,,3,1,0.0,,K-Fold (10),0.633
41,gini,,3,1,0.0,,Stratified K-Fold (10),0.633
42,gini,,3,1,0.0,balanced,K-Fold (5),0.625
42,gini,,3,1,0.0,balanced,Stratified K-Fold (5),0.696
42,gini,,3,1,0.0,balanced,Leave-One-Out,0.622
42,gini,,3,1,0.0,balanced,K-Fold (10),0.608
42,gini,,3,1,0.0,balanced,Stratified K-Fold (10),0.608
43,gini,,3,1,0.001,,K-Fold (5),0.625
43,gini,,3,1,0.001,,Stratified K-Fold (5),0.646
43,gini,,3,1,0.001,,Leave-One-Out,0.622
43,gini,,3,1,0.001,,K-Fold (10),0.633
43,gini,,3,1,0.001,,Stratified K-Fold (10),0.633
44,gini,,3,1,0.001,balanced,K-Fold (5),0.625
44,gini,,3,1,0.001,balanced,Stratified K-Fold (5),0.696
44,gini,,3,1,0.001,balanced,Leave-One-Out,0.622
44,gini,,3,1,0.001,balanced,K-Fold (10),0.608
44,gini,,3,1,0.001,balanced,Stratified K-Fold (10),0.608
45,gini,,3,1,0.01,,K-Fold (5),0.625
45,gini,,3,1,0.01,,Stratified K-Fold (5),0.646
45,gini,,3,1,0.01,,Leave-One-Out,0.622
45,gini,,3,1,0.01,,K-Fold (10),0.633
45,gini,,3,1,0.01,,Stratified K-Fold (10),0.633
46,gini,,3,1,0.01,balanced,K-Fold (5),0.625
46,gini,,3,1,0.01,balanced,Stratified K-Fold (5),0.696
46,gini,,3,1,0.01,balanced,Leave-One-Out,0.622
46,gini,,3,1,0.01,balanced,K-Fold (10),0.608
46,gini,,3,1,0.01,balanced,Stratified K-Fold (10),0.608
47,gini,,3,1,0.1,,K-Fold (5),0.429
47,gini,,3,1,0.1,,Stratified K-Fold (5),0.511
47,gini,,3,1,0.1,,Leave-One-Out,0.0
47,gini,,3,1,0.1,,K-Fold (10),0.267
47,gini,,3,1,0.1,,Stratified K-Fold (10),0.45
48,gini,,3,1,0.1,balanced,K-Fold (5),0.429
48,gini,,3,1,0.1,balanced,Stratified K-Fold (5),0.511
48,gini,,3,1,0.1,balanced,Leave-One-Out,0.378
48,gini,,3,1,0.1,balanced,K-Fold (10),0.4
48,gini,,3,1,0.1,balanced,Stratified K-Fold (10),0.45
49,gini,,3,2,0.0,,K-Fold (5),0.696
49,gini,,3,2,0.0,,Stratified K-Fold (5),0.675
49,gini,,3,2,0.0,,Leave-One-Out,0.595
49,gini,,3,2,0.0,,K-Fold (10),0.633
49,gini,,3,2,0.0,,Stratified K-Fold (10),0.583
50,gini,,3,2,0.0,balanced,K-Fold (5),0.671
50,gini,,3,2,0.0,balanced,Stratified K-Fold (5),0.7
50,gini,,3,2,0.0,balanced,Leave-One-Out,0.595
50,gini,,3,2,0.0,balanced,K-Fold (10),0.667
50,gini,,3,2,0.0,balanced,Stratified K-Fold (10),0.608
51,gini,,3,2,0.001,,K-Fold (5),0.696
51,gini,,3,2,0.001,,Stratified K-Fold (5),0.675
51,gini,,3,2,0.001,,Leave-One-Out,0.595
51,gini,,3,2,0.001,,K-Fold (10),0.633
51,gini,,3,2,0.001,,Stratified K-Fold (10),0.583
52,gini,,3,2,0.001,balanced,K-Fold (5),0.671
52,gini,,3,2,0.001,balanced,Stratified K-Fold (5),0.7
52,gini,,3,2,0.001,balanced,Leave-One-Out,0.595
52,gini,,3,2,0.001,balanced,K-Fold (10),0.667
52,gini,,3,2,0.001,balanced,Stratified K-Fold (10),0.608
53,gini,,3,2,0.01,,K-Fold (5),0.696
53,gini,,3,2,0.01,,Stratified K-Fold (5),0.675
53,gini,,3,2,0.01,,Leave-One-Out,0.568
53,gini,,3,2,0.01,,K-Fold (10),0.608
53,gini,,3,2,0.01,,Stratified K-Fold (10),0.558
54,gini,,3,2,0.01,balanced,K-Fold (5),0.671
54,gini,,3,2,0.01,balanced,Stratified K-Fold (5),0.7
54,gini,,3,2,0.01,balanced,Leave-One-Out,0.568
54,gini,,3,2,0.01,balanced,K-Fold (10),0.667
54,gini,,3,2,0.01,balanced,Stratified K-Fold (10),0.608
55,gini,,3,2,0.1,,K-Fold (5),0.429
55,gini,,3,2,0.1,,Stratified K-Fold (5),0.511
55,gini,,3,2,0.1,,Leave-One-Out,0.0
55,gini,,3,2,0.1,,K-Fold (10),0.267
55,gini,,3,2,0.1,,Stratified K-Fold (10),0.45
56,gini,,3,2,0.1,balanced,K-Fold (5),0.429
56,gini,,3,2,0.1,balanced,Stratified K-Fold (5),0.511
56,gini,,3,2,0.1,balanced,Leave-One-Out,0.378
56,gini,,3,2,0.1,balanced,K-Fold (10),0.4
56,gini,,3,2,0.1,balanced,Stratified K-Fold (10),0.45
57,gini,,3,3,0.0,,K-Fold (5),0.593
57,gini,,3,3,0.0,,Stratified K-Fold (5),0.671
57,gini,,3,3,0.0,,Leave-One-Out,0.541
57,gini,,3,3,0.0,,K-Fold (10),0.542
57,gini,,3,3,0.0,,Stratified K-Fold (10),0.533
58,gini,,3,3,0.0,balanced,K-Fold (5),0.593
58,gini,,3,3,0.0,balanced,Stratified K-Fold (5),0.671
58,gini,,3,3,0.0,balanced,Leave-One-Out,0.541
58,gini,,3,3,0.0,balanced,K-Fold (10),0.567
58,gini,,3,3,0.0,balanced,Stratified K-Fold (10),0.558
59,gini,,3,3,0.001,,K-Fold (5),0.593
59,gini,,3,3,0.001,,Stratified K-Fold (5),0.671
59,gini,,3,3,0.001,,Leave-One-Out,0.541
59,gini,,3,3,0.001,,K-Fold (10),0.542
59,gini,,3,3,0.001,,Stratified K-Fold (10),0.533
60,gini,,3,3,0.001,balanced,K-Fold (5),0.593
60,gini,,3,3,0.001,balanced,Stratified K-Fold (5),0.671
60,gini,,3,3,0.001,balanced,Leave-One-Out,0.541
60,gini,,3,3,0.001,balanced,K-Fold (10),0.567
60,gini,,3,3,0.001,balanced,Stratified K-Fold (10),0.558
61,gini,,3,3,0.01,,K-Fold (5),0.593
61,gini,,3,3,0.01,,Stratified K-Fold (5),0.621
61,gini,,3,3,0.01,,Leave-One-Out,0.541
61,gini,,3,3,0.01,,K-Fold (10),0.542
61,gini,,3,3,0.01,,Stratified K-Fold (10),0.533
62,gini,,3,3,0.01,balanced,K-Fold (5),0.593
62,gini,,3,3,0.01,balanced,Stratified K-Fold (5),0.621
62,gini,,3,3,0.01,balanced,Leave-One-Out,0.541
62,gini,,3,3,0.01,balanced,K-Fold (10),0.617
62,gini,,3,3,0.01,balanced,Stratified K-Fold (10),0.558
63,gini,,3,3,0.1,,K-Fold (5),0.429
63,gini,,3,3,0.1,,Stratified K-Fold (5),0.511
63,gini,,3,3,0.1,,Leave-One-Out,0.0
63,gini,,3,3,0.1,,K-Fold (10),0.267
63,gini,,3,3,0.1,,Stratified K-Fold (10),0.45
64,gini,,3,3,0.1,balanced,K-Fold (5),0.429
64,gini,,3,3,0.1,balanced,Stratified K-Fold (5),0.511
64,gini,,3,3,0.1,balanced,Leave-One-Out,0.378
64,gini,,3,3,0.1,balanced,K-Fold (10),0.4
64,gini,,3,3,0.1,balanced,Stratified K-Fold (10),0.45
65,gini,,3,4,0.0,,K-Fold (5),0.6
65,gini,,3,4,0.0,,Stratified K-Fold (5),0.625
65,gini,,3,4,0.0,,Leave-One-Out,0.676
65,gini,,3,4,0.0,,K-Fold (10),0.558
65,gini,,3,4,0.0,,Stratified K-Fold (10),0.658
66,gini,,3,4,0.0,balanced,K-Fold (5),0.6
66,gini,,3,4,0.0,balanced,Stratified K-Fold (5),0.6
66,gini,,3,4,0.0,balanced,Leave-One-Out,0.676
66,gini,,3,4,0.0,balanced,K-Fold (10),0.658
66,gini,,3,4,0.0,balanced,Stratified K-Fold (10),0.633
67,gini,,3,4,0.001,,K-Fold (5),0.6
67,gini,,3,4,0.001,,Stratified K-Fold (5),0.625
67,gini,,3,4,0.001,,Leave-One-Out,0.676
67,gini,,3,4,0.001,,K-Fold (10),0.558
67,gini,,3,4,0.001,,Stratified K-Fold (10),0.658
68,gini,,3,4,0.001,balanced,K-Fold (5),0.6
68,gini,,3,4,0.001,balanced,Stratified K-Fold (5),0.6
68,gini,,3,4,0.001,balanced,Leave-One-Out,0.676
68,gini,,3,4,0.001,balanced,K-Fold (10),0.658
68,gini,,3,4,0.001,balanced,Stratified K-Fold (10),0.633
69,gini,,3,4,0.01,,K-Fold (5),0.629
69,gini,,3,4,0.01,,Stratified K-Fold (5),0.625
69,gini,,3,4,0.01,,Leave-One-Out,0.73
69,gini,,3,4,0.01,,K-Fold (10),0.608
69,gini,,3,4,0.01,,Stratified K-Fold (10),0.683
70,gini,,3,4,0.01,balanced,K-Fold (5),0.629
70,gini,,3,4,0.01,balanced,Stratified K-Fold (5),0.6
70,gini,,3,4,0.01,balanced,Leave-One-Out,0.73
70,gini,,3,4,0.01,balanced,K-Fold (10),0.683
70,gini,,3,4,0.01,balanced,Stratified K-Fold (10),0.683
71,gini,,3,4,0.1,,K-Fold (5),0.429
71,gini,,3,4,0.1,,Stratified K-Fold (5),0.511
71,gini,,3,4,0.1,,Leave-One-Out,0.0
71,gini,,3,4,0.1,,K-Fold (10),0.267
71,gini,,3,4,0.1,,Stratified K-Fold (10),0.45
72,gini,,3,4,0.1,balanced,K-Fold (5),0.429
72,gini,,3,4,0.1,balanced,Stratified K-Fold (5),0.511
72,gini,,3,4,0.1,balanced,Leave-One-Out,0.378
72,gini,,3,4,0.1,balanced,K-Fold (10),0.4
72,gini,,3,4,0.1,balanced,Stratified K-Fold (10),0.45
73,gini,,3,5,0.0,,K-Fold (5),0.6
73,gini,,3,5,0.0,,Stratified K-Fold (5),0.654
73,gini,,3,5,0.0,,Leave-One-Out,0.649
73,gini,,3,5,0.0,,K-Fold (10),0.583
73,gini,,3,5,0.0,,Stratified K-Fold (10),0.708
